"　＊　　　　　＊
　１．ケームのセーフ
(1)＊
(1)２．セーフファイルをけす
(2)３．進化のき
をみる
(3)４．進化のき
をけす",137,,,"[#6200ffbb00]Save game
[#a200ffbb01]Erase save data
[#e200ffbb02]Re[vi]ew foss[il]s
[#2201ffbb03]Erase a foss[il]",,"0x116fc"
"＊　　　　＊
なんはんにセーフしますか？
　Nｏ．１
／
(1)Nｏ．２
／
(2)Nｏ．３
／",105,,,"[#e300]Where w[ill] you record your
[#0301]save data?
[#4301ffbb00]Data1…
[#4310]/
[#8301ffbb01]Data2…
[#8310]/
[#c301ffbb02]Data3…
[#c310]/",,"0x11674"
"＊　　　＊
これて、いいてすか？
(e)
　はい
／
(1)いいえ",71,,,"[#2902]Are you sure?
[#6902][#0e] [#ffbb00]Yes[#ffbbff]/[#ffbb01]No",,"0x11684"
"＊
セーフ　しました。",27,,,"[#2b01]Save data
[#4b01]recorded.",,"0x11666"
"進化のき
の
ｏ　＊
なんヘーシをみますか？",53,,,"[#4301]W[hi]ch entry wou[ld] you
[#6301][li]ke to view?",,"0x117db"
"　(e)
ｐ．　　／",21,,,"[#2402ffbb000e]
[#2502]#   /",,
"・名まえ
＊
・類へつ
　
＊
・フィキュア
(f)",63,,,"[#8200]・Name:
[#0201]・C[la]ss:
[#4301ffcc00]
[#8201]・Form:
[#c7010f]",,
"のうりょく
Hｐ：体カMAX：　　　ｐ
＊
Aｐ：こうけきカ
／かみつき……　　　ｐ
／体あたり……　　　ｐ
／けり…………　　　ｐ
＊
／なくり………　　　ｐ
／ツノ…………　　　ｐ
＊　＊
Dｐ：ほうきょカ…　　　ｐ
はやさ………………　　　ｐ
＊　　ｏ
シャンフカ…………　　　ｐ",317,,,"[#9300]Status
[#cf00]He[al]th:
[#0f01]A[tt]acks…
[#5501]B[it]e:
[#9001]Body s[la]m:
[#d501]K[ic]k:
[#1302]St[ri]ke:
[#5402]Horn:
[#8f02]Defense:
[#cf02]Speed:
[#0f03]Jump[in]g:",,
"進化のき
　ｐ．",21,,,"[#4b00]Foss[il] #",,
"き
　されていません！",27,,,"[#6901]There are
[#8901]no records!",,"0x116aa"
"＊　　　　　　　　　＊
まえのテータをうしないますか、
＊　　　＊
これて、いいてすか？
(e)
　はい
／
(1)いいえ",131,,,"[#0702]T[hi]s w[ill] overwr[it]e
[#2702][the] ex[is][ti]ng data.
[#6702]Are you sure?
[#a9020e] [#ffbb00]Yes[#ffbbff]/[#ffbb01]No",,"0x116b7"
"＊
なんはんをけしますか？
　Nｏ．１
／
(1)Nｏ．２
／
(2)Nｏ．３
／",91,,,"[#0301]Which save data w[ill] you
[#2301]d[el]ete?
[#6301ffbb00]Data1…
[#a301ffbb01]Data2…
[#e301ffbb02]Data3…",,"0x11809"
"＊　　　＊
これて、いいてすか？
(e)
　はい
／
(1)いいえ",71,,,"[#4902]Are you sure?
[#8902][#0e] [#ffbb00]Yes[#ffbbff]/[#ffbb01]No",,"0x11819"
"＊
セーフファイルをけしました。",37,,,"[#2c01]Save data
[#4c01]d[el]eted.",,"0x1182c"
"進化のき
の
ｏ　＊
なんヘーシをけしますか？",55,,,"[#8301]W[hi]ch entry wou[ld] you
[#a301][li]ke to d[el]ete?",,"0x11836"
"　(e)
ｐ．　　／",21,,,"[#6402ffbb000e]
[#6502]#   /",,
"＊　　　＊
これて、いいてすか？
(e)
　はい
／
(1)いいえ",71,,,"[#6b02]Are you sure?
[#ab02][#0e] [#ffbb00]Yes[#ffbbff]/[#ffbb01]No",,"0x11846"
"進化のき
をけしました。",29,,,"[#2d01]Entry
[#4d01]de[le]ted.",,"0x1182c"
